# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.2 	78.0386649378 	36.2223395765 	1.30856781326 	0.00228005321981 	0.852887519613
0.05 	0.2 	78.0386649378 	53.167123502 	-2.38913706415 	-0.00613440779158 	0.856426666904
0.05 	0.2 	78.0386649378 	78.0386649378 	-1.30404734247 	-0.00485749171172 	0.856222700908
0.05 	0.2 	78.0386649378 	114.545095242 	-2.60336688221 	-0.0138206582032 	0.855498201785
0.05 	0.2 	78.0386649378 	168.129206906 	-1.78589934427 	-0.0132572295374 	0.855466204687
0.05 	0.2 	78.0386649378 	246.779926762 	0.832013958165 	0.00847664628012 	0.855721387708
0.05 	0.2 	78.0386649378 	362.223395765 	0.208236871032 	0.00295986038084 	0.855572048073
0.05 	0.2 	78.0386649378 	531.67123502 	0.465358297591 	0.00864432309213 	0.855415261522
0.05 	0.2 	78.0386649378 	780.386649378 	0.0428552777417 	0.00103643013077 	0.85541496629
0.05 	0.2 	78.0386649378 	1145.45095242 	0.0714700929378 	0.00229155994894 	0.855248346056
0.05 	0.2 	78.0386649378 	1681.29206906 	0.0364917383212 	0.00153032507045 	0.854973399843
0.05 	0.2 	114.545095242 	24.6779926762 	-2.10069721727 	-0.00353251453656 	0.858823980014
0.05 	0.2 	114.545095242 	36.2223395765 	-0.620284299371 	-0.0015604890003 	0.853396328246
0.05 	0.2 	114.545095242 	53.167123502 	-1.3587524715 	-0.00503724526048 	0.856937586892
0.05 	0.2 	114.545095242 	78.0386649378 	-2.28276599876 	-0.0122772550458 	0.856733499216
0.05 	0.2 	114.545095242 	114.545095242 	-4.39459207122 	-0.033684731619 	0.856008567877
0.05 	0.2 	114.545095242 	168.129206906 	-3.15344238914 	-0.0337988459757 	0.855976551691
0.05 	0.2 	114.545095242 	246.779926762 	-0.024420177663 	-0.000359222425413 	0.856231886947
0.05 	0.2 	114.545095242 	362.223395765 	0.387717729033 	0.00795701962543 	0.85608245822
0.05 	0.2 	114.545095242 	531.67123502 	0.893516552586 	0.0239644410533 	0.855925578134
0.05 	0.2 	114.545095242 	780.386649378 	-0.10553755817 	-0.00368522433751 	0.855925282726
0.05 	0.2 	114.545095242 	1145.45095242 	0.082370487 	0.00381328866848 	0.855758563091
0.05 	0.2 	114.545095242 	1681.29206906 	0.0660577522929 	0.00399976159617 	0.855483452853
0.05 	0.2 	168.129206906 	24.6779926762 	-2.13335178957 	-0.00502131831339 	0.858316329716
0.05 	0.2 	168.129206906 	36.2223395765 	-1.08184006357 	-0.00380949811499 	0.85289188623
0.05 	0.2 	168.129206906 	53.167123502 	-1.58729339159 	-0.00823653858363 	0.85643105164
0.05 	0.2 	168.129206906 	78.0386649378 	-2.54015208768 	-0.0191220470299 	0.8562270846
0.05 	0.2 	168.129206906 	114.545095242 	-2.99121723019 	-0.032092034962 	0.855502581768
0.05 	0.2 	168.129206906 	168.129206906 	-3.13095499049 	-0.0469708667673 	0.855470584506
0.05 	0.2 	168.129206906 	246.779926762 	-1.27213658085 	-0.0261928732847 	0.855725768834
0.05 	0.2 	168.129206906 	362.223395765 	1.07862245974 	0.0309841086797 	0.855576428434
0.05 	0.2 	168.129206906 	531.67123502 	1.47506625403 	0.0553746517977 	0.85541964108
0.05 	0.2 	168.129206906 	780.386649378 	0.000443289929885 	2.16660396602e-05 	0.855419345847
0.05 	0.2 	168.129206906 	1145.45095242 	0.0268272395647 	0.00173835638024 	0.855252724759
0.05 	0.2 	168.129206906 	1681.29206906 	0.0765151619291 	0.00648474040053 	0.854977777139
0.05 	0.2 	246.779926762 	24.6779926762 	0.321328998031 	0.000977079144993 	0.858307474499
